i,fval,d1,d2,d3,d4,lam,p11,p1,p2
682,2.72,-0.49262319807649135,0.03787374063401725,-0.04434442666464001,-0.3143263944674028,582.0835158547839,1374.7183347677515 - 47.24083206646051im,1394.1209718405337 + 0.0im,1449.3063076713067 - 35.01277126791176im
684,2.72,-0.45481102777795873,0.029354872089132223,0.0057683364112443986,-0.3765063595349904,567.902251549669,1376.5617095189295 - 42.87042484909159im,1395.0288219518918 + 0.0im,1459.8569260300353 - 39.36673568177581im
690,4.33,-0.5142354987423021,0.012542406175069291,-0.057930728747837806,-0.2435507979058691,510.5654015140919,1372.3090371471178 - 60.85993635149382im,1371.272141191523 + 0.0im,1461.938602672661 - 17.80833700552372im
695,2.97,-0.4171652350060907,0.045873900406445116,-0.05804530344270875,-0.2715325282671224,542.7294425597047,1368.3692886660072 - 62.65790939708739im,1370.8025226355544 + 0.0im,1443.778553037276 - 15.608455317457135im
696,2.75,-0.4738404310799998,0.05126372034019721,-0.03492078042094551,-0.2876955322540086,561.8007330399884,1373.2267258513511 - 53.26422239020502im,1390.2094346441343 + 0.0im,1442.7914002790073 - 27.20514328120823im
697,3.07,-0.33132401988515336,0.02822622453977645,0.02696103466010801,-0.42447952022197505,534.2739650557896,1371.1889916379853 - 59.21109079618977im,1380.5921291146599 + 0.0im,1454.5585531647198 - 21.4570206700576im
699,3.98,-0.50149213169393,0.014191115237960968,-0.0007358308390588569,-0.3596938146652885,535.0019005614405,1376.2249222130872 - 50.83260620822639im,1389.5197298500364 + 0.0im,1477.0287492586722 - 33.56681502654135im
700,2.73,-0.8534197103755189,0.026477446987102193,-0.21788676503665513,0.08836196539080488,574.191658175239,1375.0832803576782 - 36.34445857607871im,1395.9815099918794 + 0.0im,1450.4747676722698 - 32.67080699455811im
701,2.85,-0.5580168218286988,0.04403216808643437,-0.11319369675311913,-0.16380296046161533,564.3507431829366,1370.7408114576588 - 54.772736705789065im,1386.4516450907965 + 0.0im,1441.6913466218787 - 21.45256572905916im
707,2.65,-0.520812036857014,0.04711772605728031,-0.06494173112665194,-0.24986878652021144,562.2700519957068,1372.8291174992066 - 54.73937476572962im,1388.4888731335402 + 0.0im,1445.1175165330778 - 26.831989769223078im
709,3.47,-0.6800232960391221,0.07627517856290864,-0.11754391942159442,-0.14585288761573018,589.3488297621311,1376.428887370932 - 53.66218984208355im,1394.927176404064 + 0.0im,1433.0450850833486 - 37.630848121419795im
712,3.87,-0.3998014109493617,0.09032192708389698,0.038693675519446934,-0.3966245570621539,568.4815568367476,1375.0061140278058 - 58.56386920232839im,1393.0089202850502 + 0.0im,1430.1405698420926 - 32.48572485906419im
715,2.97,-0.3718379869684786,0.04400367238485947,0.019669751460734936,-0.45374455841079175,590.507468735734,1375.1510787347918 - 48.68355729194047im,1394.876982741144 + 0.0im,1447.285798836196 - 38.5367124254783im
718,2.75,-0.7829406348908637,0.05900337152565922,-0.17732463629609097,-0.05219024199363623,559.7502372694817,1373.7581503854676 - 61.94361730190655im,1382.1129561747666 + 0.0im,1447.3387438111258 - 30.656799046917918im
720,2.79,-0.6520949404461196,0.049659807788414674,-0.11902315661275234,-0.15516978840745327,583.2646399960237,1375.3196356351202 - 48.43743331343139im,1394.1755938873443 + 0.0im,1443.9148166945627 - 35.19564037259028im
721,2.6,-0.3910186412577844,0.04491345450645288,0.029139726796885528,-0.41569613249952336,556.8120885453746,1374.7150495053318 - 53.081620127583555im,1390.9847354204912 + 0.0im,1450.658050081014 - 32.230195445217696im
722,2.9,-0.5180244700409973,0.023415808252357777,-0.0346594487061067,-0.29985768257355566,565.5272926057784,1375.8409352142914 - 42.64066222407634im,1394.5321351007594 + 0.0im,1460.7771144026817 - 36.241399516305556im
726,2.75,-0.3701158358002338,0.04717198185420595,-0.018810427948460405,-0.4055522868249688,570.3277360910023,1369.0175190260557 - 61.74940356828162im,1380.892502173742 + 0.0im,1444.8755506199104 - 23.412009781384256im
728,2.71,-0.4222926508456628,0.02015460000381501,0.023463247687328805,-0.36742624912611216,557.9535383674229,1375.470429454728 - 37.92020837480877im,1395.622658150371 + 0.0im,1459.383927623693 - 34.14173291484866im
729,4.45,-0.5693529161357571,0.0669263519944642,-0.07040491959767396,-0.2113919444135182,595.1229132483205,1376.9056499077367 - 43.5696990233109im,1396.9743585147369 + 0.0im,1431.9309079562593 - 36.082468191742514im
738,2.82,-0.5137153123764415,0.03892822621686927,-0.05521975306766069,-0.29833822199059856,554.7736836672569,1372.9250363316887 - 58.812295831120935im,1383.9677229238648 + 0.0im,1453.7959167308672 - 28.126004007619322im
739,2.79,-0.7541764481921793,0.02184984618184021,-0.1547314332611159,-0.03595222253645569,562.565930228829,1375.6851360473038 - 39.06956873666655im,1395.022901396711 + 0.0im,1457.7007560965155 - 33.46608470283181im
743,3.02,-0.18318985644965002,0.05741576289183869,0.09718130574454503,-0.6642000883491956,589.0617921487224,1369.2296716481862 - 64.55774482291541im,1386.310903626577 + 0.0im,1443.620777206398 - 33.360729957355424im
747,2.72,-0.4554273108316022,0.02393248206586968,-0.04820705434567941,-0.32553858015413334,570.3732262135554,1372.3454528526213 - 50.99796355168759im,1390.2449526836904 + 0.0im,1453.6830315429283 - 27.74916520339455im
