redχsq,d1,d2,d3,d4,lam,pB,repL,impL,repH,impH,pB_g11,pB_g22,pL_g11,pL_g22,pH_g11,pH_g22
2.36,0.4971607536762088,0.0237018741091351,0.3483868190559374,-1.440266378772722,652.1976246272876,NaN,1368.32,0.0,1458.73,-13.66,NaN,NaN,6.6,2.39,1.36,2.9
2.58,-1.372640367055312,0.0223992024892073,-0.6356702282381025,0.3712627723478198,778.9222743599747,NaN,1388.64,-0.0,1458.54,-16.99,NaN,NaN,2.84,1.58,1.55,3.26
4.29,-0.2315596759810022,0.023637223412006,-0.3052731373496036,-0.6381232371470822,937.5836638377142,NaN,1385.64,0.0,1455.98,-5.77,NaN,NaN,2.58,2.35,0.78,2.86
2.56,0.7845695806911773,0.023580328976902,0.4658374109755203,-1.715616369932643,711.4845422111581,NaN,1387.57,0.0,1450.02,-16.48,NaN,NaN,3.08,1.76,1.5,3.33
3.02,0.3939971175592957,0.0246416284065263,0.2850511230674675,-1.3276038570863415,713.2315019290629,NaN,1392.15,-0.0,1448.37,-20.03,NaN,NaN,2.47,1.76,1.68,3.5
2.47,-0.287746669562063,0.0243283652350198,-0.1011428494474082,-0.6265896847089472,718.6618394527954,NaN,1378.94,0.0,1449.07,-11.26,NaN,NaN,3.95,1.49,1.2,3.16
4.42,-1.2883125351778917,0.022630726304099,-0.6705662642797389,0.3624432307515582,848.9469389841827,NaN,1386.88,0.0,1439.42,-6.58,NaN,NaN,2.77,0.84,0.93,3.61
3.14,-0.5788051990484012,0.023931249206525,-0.1102827945167774,-0.3759789659137618,654.4649378713772,NaN,1396.7,0.0,1459.76,-29.62,NaN,NaN,1.37,1.27,2.08,3.55
7.1,0.1778533391984961,0.023336585426828,0.1285207966380503,-1.1448674260514442,844.8388958255603,NaN,1397.52,0.0,1436.14,-24.63,NaN,NaN,0.68,0.77,1.88,4.13
5.43,-0.360593115776203,0.0238278705672346,-0.2689123784634754,-0.5301077977872695,863.217032478756,NaN,1377.16,0.0,1444.47,-0.38,NaN,NaN,3.22,0.67,0.21,3.29
4.74,-1.6137477662404294,0.0224003865914294,-0.6406883038747598,0.576875709172551,732.0886014656191,1397.37,NaN,NaN,1480.88,-46.35,0.82,0.89,NaN,NaN,3.0,4.84
3.31,-0.3670946130720957,0.0232462581539696,-0.1390247550903666,-0.585207598109953,781.38139756187,NaN,1392.6,0.0,1445.45,-17.75,NaN,NaN,2.33,1.6,1.57,3.62
2.45,0.4422147252432324,0.024738726271048,0.2081360918775953,-1.433372050989247,861.2282084422495,NaN,1384.9,-0.0,1452.59,-8.87,NaN,NaN,2.95,0.92,1.03,3.13
5.22,-0.4350073503150788,0.0234414158261036,-0.153989750972339,-0.5618722334592642,828.9967541116099,NaN,1397.58,0.0,1447.09,-31.03,NaN,NaN,0.46,0.5,2.08,4.12
6.98,-0.8600468476222953,0.0230628908048175,-0.5638630596552852,-0.0018871128914403,849.1375323348813,NaN,1367.79,0.0,1452.47,0.34,NaN,NaN,3.83,1.66,0.19,2.84
3.65,0.7860581005414485,0.0223388884447505,0.4195534212959807,-1.6084681389847684,673.6130437369673,NaN,1367.19,0.0,1445.01,-6.74,NaN,NaN,5.8,1.22,0.92,3.11
2.29,-0.3096267284662778,0.0233116207727727,-0.1168883573378107,-0.6453508743644785,756.8928553759897,NaN,1383.85,0.0,1451.84,-13.11,NaN,NaN,3.36,1.49,1.3,3.2
4.33,-1.3081958658717543,0.0232625303130617,-0.5400527875348351,0.3761921033346892,716.1035688356445,NaN,1397.05,-0.0,1446.91,-26.82,NaN,NaN,1.18,1.17,1.94,3.68
7.79,0.5952105561791559,0.022523265377185,0.1979544778353633,-1.4961479372758248,919.607070461865,NaN,1385.11,-0.0,1439.04,-0.06,NaN,NaN,2.6,0.85,0.08,3.68
2.8,-1.4563548311506698,0.0231638231085247,-0.7343187455962535,0.4530813225878504,892.1508947691462,NaN,1391.59,-0.0,1450.04,-12.98,NaN,NaN,2.33,1.17,1.28,3.51
7.96,-0.0739384414397723,0.0248404919588211,-0.1369499795591154,-0.7544297998219434,813.726410502625,NaN,1370.72,0.0,1440.39,0.03,NaN,NaN,3.8,1.04,0.06,3.35
2.35,0.876611428983565,0.023533204001784,0.4617522338598111,-1.7964627406899645,723.347692264128,NaN,1368.08,0.0,1452.53,-8.32,NaN,NaN,5.29,1.18,1.0,2.91
3.42,-0.0361029457400209,0.0239690840638172,0.0346015044661567,-0.9957670087809743,836.808602917625,NaN,1395.84,-0.0,1459.52,-25.87,NaN,NaN,1.65,1.33,1.99,3.88
2.31,0.0888198715480094,0.0227284910534749,0.0633721385705762,-1.0379161985527248,773.9143669471778,NaN,1382.06,-0.0,1450.92,-10.73,NaN,NaN,3.44,1.27,1.16,3.15
2.78,0.0944905484823779,0.0244732008798224,0.0909454665028958,-0.9649317316293118,681.8528397704314,NaN,1369.87,-0.0,1448.06,-9.02,NaN,NaN,5.37,1.48,1.07,3.07
2.46,0.7020438404989721,0.0231082290320797,0.3963155087326915,-1.6577540659988248,759.9492938797961,NaN,1387.67,0.0,1450.46,-15.22,NaN,NaN,2.97,1.58,1.43,3.34
4.42,0.117666486836838,0.023632256522154,0.1060739899053107,-1.0175746456086148,745.9974254414968,NaN,1391.44,-0.0,1439.71,-14.92,NaN,NaN,2.53,1.67,1.47,3.62
2.33,-1.6781221820084191,0.0230764329121526,-0.7790093439734875,0.7267300657929961,702.659056916705,NaN,1372.94,0.0,1456.84,-12.01,NaN,NaN,4.89,1.69,1.25,2.91
4.27,0.0705025508385064,0.0238000485416553,0.0515134194621387,-0.8719200884033727,671.4525678934062,NaN,1362.4,-0.0,1443.27,-5.53,NaN,NaN,7.16,1.09,0.83,3.13
6.54,-0.0949677806056308,0.0242748932543718,-0.0765090664479131,-0.9176544801024412,825.8242797011002,NaN,1360.98,-0.0,1464.11,-2.69,NaN,NaN,5.12,0.11,0.55,1.85
5.86,-0.284760175352882,0.0237767286689515,-0.2085961395597444,-0.5583981076673988,789.538231947244,NaN,1370.56,0.0,1441.39,-1.12,NaN,NaN,4.01,0.35,0.37,3.28
2.38,0.2418491707284585,0.0227762791054369,0.1523257165310657,-1.166541924335181,711.135482833965,NaN,1363.91,-0.0,1454.46,-8.6,NaN,NaN,6.44,1.35,1.02,2.82
7.3,-1.2129978342834875,0.0232439759187625,-0.6952890239101414,0.2354510810632661,912.879558031313,NaN,1374.91,-0.0,1461.35,0.48,NaN,NaN,3.23,0.63,0.22,2.1
5.24,0.2911920576597507,0.0241553621962726,-0.1553235542010243,-1.0422394304553837,906.0647482487076,NaN,1396.61,0.0,1462.5,-43.3,NaN,NaN,1.36,2.03,2.24,4.39
7.92,-0.2911634895605967,0.0243123337701172,-0.2513626283465567,-0.5619906725176094,849.3939366410386,NaN,1375.82,-0.0,1441.02,-0.0,NaN,NaN,3.31,1.07,0.01,3.41
3.62,0.5832115243592678,0.0238969486476796,0.3664422288620298,-1.5848275831263243,792.7374585741362,NaN,1396.58,-0.0,1453.94,-28.17,NaN,NaN,1.41,1.27,2.02,3.88
6.52,-0.1197327716773245,0.0240295139003255,-0.2125468513842083,-0.7579433844558497,903.515589729351,NaN,1378.33,-0.0,1452.57,1.58,NaN,NaN,3.01,1.88,0.41,2.95
2.92,0.5452136163418221,0.0245689150106517,0.2716220020818192,-1.4220496258168676,722.8472424242786,NaN,1361.58,0.0,1448.37,-5.48,NaN,NaN,6.45,0.71,0.8,2.99
7.59,-0.7790720612387969,0.0243945065181563,-0.5178116028130937,-0.123238731057066,924.981643460198,NaN,1382.04,-0.0,1448.62,-0.4,NaN,NaN,2.76,1.45,0.21,3.22
2.34,-0.5802561951657705,0.0238046172554446,-0.2314318675640023,-0.3222603782904966,672.9628263822481,NaN,1362.88,-0.0,1453.12,-10.14,NaN,NaN,7.9,2.01,1.12,2.91
3.49,-0.344033297582585,0.0231600394406869,-0.0286297565926462,-0.6438267499292011,708.2747385053308,NaN,1397.17,0.0,1461.35,-32.56,NaN,NaN,1.1,1.05,2.21,3.8
2.3,-0.0610595092922839,0.0230820503155148,0.0883220671133525,-0.8882612042843671,661.689096477074,NaN,1385.58,-0.0,1457.96,-18.53,NaN,NaN,3.44,1.98,1.63,3.18
2.95,-0.7455309607397229,0.0229044390098147,-0.1753752919014079,-0.1961925737422962,630.908574415354,NaN,1396.41,0.0,1460.53,-28.17,NaN,NaN,1.49,1.35,2.02,3.45
8.27,0.0285963015976761,0.0241130017256717,-0.0732716018102966,-1.0274346824598777,947.0903318257784,NaN,1378.9,0.0,1462.25,0.54,NaN,NaN,2.94,0.55,0.23,1.99
6.1,-0.2353752620399627,0.0234705630333864,-0.2169166438151484,-0.6912623911212948,857.279511506562,NaN,1365.42,0.0,1458.53,-0.16,NaN,NaN,4.02,1.04,0.13,2.37
2.68,-1.4087040706258338,0.0240953002827745,-0.7364383448218953,0.4756464469668148,804.8555627203681,NaN,1371.47,-0.0,1451.86,-4.18,NaN,NaN,4.05,0.3,0.68,2.89
7.97,0.7967793022540567,0.0241911800864849,0.2415500350296102,-1.5730271248429362,813.6522885446877,NaN,1368.47,-0.0,1441.55,-1.86,NaN,NaN,4.01,2.23,0.47,3.35
2.67,-0.6866090315153741,0.0242478284760164,-0.2179508226802275,-0.247170602846179,671.1242675576983,NaN,1392.15,-0.0,1453.31,-21.85,NaN,NaN,2.49,1.82,1.76,3.4
4.31,-0.8760521871546924,0.0235003872783726,-0.3620133834460642,0.0422575076936747,667.2888019029242,NaN,1387.14,0.0,1441.28,-12.82,NaN,NaN,3.16,1.76,1.35,3.4
3.1,-1.3188054633574675,0.0250208424723385,-0.5448065121468777,0.3118762388605477,732.9160247567679,NaN,1395.6,0.0,1461.75,-29.21,NaN,NaN,1.75,1.48,2.13,3.77
2.74,-0.3059862046720464,0.0235572365590912,-0.0053273315000176,-0.6282199367030998,656.4889443631312,NaN,1393.88,-0.0,1455.28,-23.9,NaN,NaN,2.18,1.72,1.85,3.41
3.08,0.4221708818723768,0.0237404787685752,0.2848871049322024,-1.42595952520572,781.1630037184348,NaN,1395.07,0.0,1456.47,-25.31,NaN,NaN,1.87,1.49,1.93,3.72
4.32,-0.5416342571873647,0.0213274253313125,-0.200460715317301,-0.3345433171040466,708.7421497237781,NaN,1392.33,-0.0,1441.05,-16.11,NaN,NaN,2.43,1.71,1.52,3.55
